Abbreviation,Spoken
addr,address
admin,administrator
admins,administrators
adv,advance
adv,advanced
ab,alberta
abs,absolute
afk,away from keyboard
alt,alternative
app,application
apps,applications
arg,argument
args,arguments
afaict,as far as i can tell
afaik,as far as i know
alt,alternate
asm,assembly
atm,at the moment
attr,attribute
attrs,attributes
auth,authenticate
auth,authentication
avg,average
bin,binary
bool,boolean
bc,british columbia
btn,button
ca,canada
cm,centimeter
chr,char
char,character
cls,class
cli,client
cmd,command
cmt,comment
cmp,compare
conf,conference
cfg,config
cfg,configuration
ctx,context
ctrl,control
const,constant
coord,coordinate
coords,coordinates
cos,cosine
cpy,copy
cnt,count
csc,cosecant
ctr,counter
db,database
decl,declare
decl,declaration
dec,decode
dec,decrement
dbg,debug
def,define
def,definition
desc,description
dev,develop
dev,development
dev,device
dict,dictation
dict,dictionary
dir,direction
dir,directory
dist,distribution
doc,document
docs,documents
dbl,double
dup,dupe
dup,duplicate
dyn,dynamic
e.g.,for example
enc,encode
ent,entry
enum,enumerate
env,environment
esc,escape
etc,et cetera
ex,example
exc,exception
exec,execute
exp,exponent
exp,expression
ext,extend
ext,extension
fs,file system
fw,framework
func,function
lol,funny
gen,generic
gen,generate
geom,geometry
http,hypertext
hist,history
hypot,hypotenuse
i.e.,that is
img,image
iat,import table
iat,import address table
inc,increment
info,information
init,initialize
init,initializer
irl,in real life
inst,instance
int,integer
int,interrupt
iter,iterate
ix,index
jar,java archive
js,javascript
json,jason
jmp,jump
kbd,keyboard
kwargs,keyword arguments
kw,keyword
kg,kilogram
km,kilometer
lng,language
len,length
lib,library
mb,manitoba
md,markdown
msg,message
msf,meta sploit
msf,meta sploit framework
mic,microphone
mg,milligram
ms,millisecond
misc,miscellaneous
mod,module
mnt,mount
ns,nano second
nvim,neo vim
nb,new brunswick
ns,nova scotia
num,number
obj,object
ok,okay
on,ontario
opt,option
os,operating system
orig,original
pkg,package
param,parameter
params,parameters
ps,pico second
px,pixel
pt,point
ptr,pointer
pos,position
pic,position independent code
pie,position independent executable
prev,previous
prop,property
pub,public
py,python
qc,quebec
qs,query string
rnd,random
rcpt,receipt
ref,reference
refs,references
reg,register
reg,registery
regex,regular expression
regex,regular expressions
repl,repel
repr,represent
repr,representation
req,request
ret,return
rev,revision
rb,ruby
sk,saskatchewan
sp,service pack
sid,session id
sh,shell
sc,shellcode
sec,secant
sin,sine
src,source
spec,special
spec,specific
spec,specification
spec,specify
sqrt,square root
stdin,standard in
stdout,standard out
std,standard
str,string
struct,structure
sync,synchronize
sync,synchronous
sys,system
tan,tangent
toc,table of contents
tbl,table
tw,taiwan
tech,technology
temp,temperature
tmp,temporary
tmp,temp
term,terminal
traj,trajectory
txt,text
toctou,time of check time of use
tok,token
ulti,ultimate
uuid,unique id
usr,user
utils,utilities
util,utility
val,value
var,variable
vrfy,verify
vs,versus
vis,visual
msvc,visual studio
www,web
wtf,what the fuck
win,window
jan,january
feb,february
mar,march
apr,april
jun,june
jul,july
aug,august
sep,september
oct,october
nov,november
dec,december
